"Country","Year","Elected","year1","year2","year3","year4","year5","year6"
"Albania",1984,"n",1.16,1.09,1.05,1.06,1.01,1.08
"Albania",1985,"n",1.09,1.05,1.06,1.01,1.08,1.02
"Albania",1986,"n",1.05,1.06,1.01,1.08,1.02,1.02
"Albania",1987,"n",1.06,1.01,1.08,1.02,1.02,1.14
"Albania",1988,"n",1.01,1.08,1.02,1.02,1.14,0.93
"Albania",1989,"n",1.08,1.02,1.02,1.14,0.93,0.75
"Albania",1990,"n",1.02,1.02,1.14,0.93,0.75,0.95
"Albania",1991,"n",1.02,1.14,0.93,0.75,0.95,1.12
"Albania",1992,"n",1.14,0.93,0.75,0.95,1.12,1.12
"Albania",1993,"n",0.93,0.75,0.95,1.12,1.12,1.11
"Albania",1994,"n",0.75,0.95,1.12,1.12,1.11,1.11
"Albania",1995,"n",0.95,1.12,1.12,1.11,1.11,0.91
"Albania",1996,"n",1.12,1.12,1.11,1.11,0.91,1.14
"Albania",1997,"n",1.12,1.11,1.11,0.91,1.14,1.12
"Albania",1998,"n",1.11,1.11,0.91,1.14,1.12,1.1
"Albania",1999,"n",1.11,0.91,1.14,1.12,1.1,1.1
"Albania",2000,"n",0.91,1.14,1.12,1.1,1.1,1.06
"Albania",2001,"n",1.14,1.12,1.1,1.1,1.06,1.08
"Albania",2002,"n",1.12,1.1,1.1,1.06,1.08,1.05
"Albania",2003,"n",1.1,1.1,1.06,1.08,1.05,1.08
"Albania",2004,"n",1.1,1.06,1.08,1.05,1.08,1.09
"Albania",2005,"n",1.06,1.08,1.05,1.08,1.09,1.09
"Albania",2006,"n",1.08,1.05,1.08,1.09,1.09,1.1
"Albania",2007,"n",1.05,1.08,1.09,1.09,1.1,1.04
"Albania",2008,"n",1.08,1.09,1.09,1.1,1.04,1.05
"Albania",2009,"n",1.09,1.09,1.1,1.04,1.05,1.04
"Algeria",1984,"n",1.13,1.13,1.1,1.1,1.09,1.02
"Algeria",1985,"n",1.13,1.1,1.1,1.09,1.02,1.02
"Algeria",1986,"n",1.1,1.1,1.09,1.02,1.02,1.01
"Algeria",1987,"n",1.1,1.09,1.02,1.02,1.01,1.09
"Algeria",1988,"y",1.09,1.02,1.02,1.01,1.09,1.05
"Algeria",1989,"n",1.02,1.02,1.01,1.09,1.05,1.02
"Algeria",1990,"n",1.02,1.01,1.09,1.05,1.02,1.04
"Algeria",1991,"n",1.01,1.09,1.05,1.02,1.04,1
"Algeria",1992,"n",1.09,1.05,1.02,1.04,1,1.01
"Algeria",1993,"n",1.05,1.02,1.04,1,1.01,1.06
"Algeria",1994,"n",1.02,1.04,1,1.01,1.06,1.06
